uri:/instrument/1.0/ibm/chartdata;type=quote;range=1y/csv
ticker:ibm
Company-Name:International Business Machines
Exchange-Name:NYQ
unit:DAY
timestamp:
first-trade:19620102
last-trade:20140731
currency:USD
previous_close_price:195.0400
Date:20130801,20140731
labels:20130801,20130903,20131001,20131101,20131202,20140102,20140203,20140303,20140401,20140501,20140602,20140701
values:Date,close,high,low,open,volume
close:172.8000,197.7700
high:173.7500,199.2100
low:172.1900,195.8800
open:172.1900,198.0500
volume:1613600,22368900
20140603,184.3700,185.7600,184.1200,185.5500,2517100
20140604,184.5100,185.4500,184.2000,184.7100,2376800
20140605,185.9800,186.0900,183.9200,184.6600,2852200
20140606,186.3700,187.6500,185.9000,186.4700,3296700
20140609,186.2200,187.6400,185.9600,186.2200,2728400
20140610,184.2900,186.2200,183.8200,186.2000,4154900
20140611,182.2500,184.2000,182.0100,183.6100,4061700
20140612,181.2200,182.5500,180.9100,182.4800,4425300
20140613,182.5600,183.0000,181.5200,182.0000,2773600
20140616,182.3500,182.7100,181.2400,182.4000,3538700
20140617,182.2600,182.8100,181.5600,181.9000,2445400
20140618,183.6000,183.6100,181.7900,182.0400,3931800
20140619,182.8200,184.4700,182.3600,184.1200,3551100
20140620,181.5500,182.6700,181.4000,182.5900,10686800
20140623,182.1400,182.2500,181.0000,181.9200,3231700
20140624,180.8800,183.0000,180.6500,181.5000,3875400
20140625,180.7200,180.9700,180.0600,180.2500,2762800
20140626,180.3700,181.3700,179.2700,180.8700,3258500
20140627,181.7100,182.4600,179.6600,179.7700,4575500
20140630,181.2700,181.9300,180.2600,181.3300,4223800
20140701,186.3500,187.2700,181.7000,181.7000,6643100
20140702,188.3900,188.9900,186.1700,186.3400,5093000
20140703,188.5300,188.8100,187.3500,188.3900,2422400
20140707,188.0400,188.2700,187.4400,187.6100,2958700
20140708,187.2200,188.0800,186.3700,187.6500,3135100
20140709,188.4200,188.9000,186.8900,187.6800,3309600
20140710,187.7000,188.0500,186.2100,186.4400,3177800
20140711,188.0000,188.3500,186.7100,187.7300,2402500
20140714,189.8600,190.4400,188.5300,188.5500,4501100
20140715,188.4900,190.0800,188.2100,189.5400,4864700
20140716,192.3600,193.3600,190.7600,192.2400,7812600
20140717,192.4900,195.9500,192.0000,192.3600,8846500
20140718,192.5000,193.4400,190.0000,191.9600,8166400
20140721,190.8500,191.7000,189.2500,191.3000,4154400
20140722,194.0900,194.7200,191.5600,191.5900,4853000
20140723,193.6300,194.9000,193.5700,194.1100,3584200
20140724,195.2400,195.6200,193.7500,193.9500,3503800
20140725,194.4000,195.9000,193.7900,195.3000,3376400
20140728,195.7800,196.4000,193.6500,194.3000,3242400
20140729,194.5700,195.8900,194.5400,195.3000,3264100
20140730,194.0000,195.9900,192.9000,195.2000,3943800
20140731,191.6700,194.2900,191.5400,192.8400,4207500
