Date,close,high,low,open,volume
20081117,74.8800,81.0000,69.5000,79.4000,14682300
20081124,81.6000,82.4000,75.0000,75.7400,9922950
20081201,80.5900,81.5000,75.3100,80.9500,10290800
20081208,82.2000,85.8800,78.0600,82.5700,9957020
20081215,83.5200,87.2700,80.0000,82.5100,10025620
20081222,81.3300,83.4500,79.9200,83.2700,4743550
20081229,87.3700,87.5900,79.6800,81.7200,6515725
20090105,84.7000,90.4100,84.2500,86.4200,8218480
20090112,84.9200,86.6000,82.1100,84.5700,9636000
20090120,89.4900,91.6000,81.7600,84.7600,15327375
20090126,91.6500,94.9400,89.5200,89.7700,10163860
20090202,96.1400,97.1000,89.6900,90.6000,10731900
20090209,93.8400,96.9800,92.2000,95.9300,9826580
20090217,88.7900,92.4900,87.3400,91.7300,10604875
20090223,92.0300,93.2800,82.8500,89.3000,15561141
20090302,85.8100,91.9000,83.8100,91.1700,14896720
20090309,90.3600,90.6500,83.0200,84.7000,12366320
20090316,92.5100,95.0000,89.4100,91.6500,12666180
20090323,94.1500,99.8600,92.7500,93.7000,12190140
20090330,102.2200,102.6600,91.8000,92.0000,12982500
20090406,101.7000,102.4500,98.5200,100.9000,8221775
20090413,101.2700,102.0400,96.4400,100.2800,8342360
20090420,100.0800,103.8600,98.2000,100.2900,11893860
20090427,104.6100,106.0500,99.2500,99.6100,9278860
20090504,101.4900,106.8200,99.8300,105.2600,8538340
20090511,101.3700,104.3800,100.5700,101.0900,8445840
20090518,101.8900,106.1200,101.7400,102.0000,6919900
20090526,106.2800,106.5000,101.0200,101.3200,6832525
20090601,107.2400,108.8000,105.1100,106.9400,7118460
20090608,108.2100,110.6400,105.5000,106.6400,7782600
20090615,105.8900,109.1400,105.5000,107.6300,8586140
20090622,105.6800,106.7900,103.5100,105.1800,6174340
20090629,101.7300,106.2700,101.7300,105.9900,6189600
20090706,100.8300,102.7800,99.5000,101.5700,6841600
20090713,115.4200,115.5300,100.1900,101.2800,11758740
20090720,117.6400,118.1500,114.3900,114.5300,8504000
20090727,117.9300,119.3700,116.0500,116.9500,5617140
20090803,119.3300,119.9600,116.7000,118.8800,5578760
20090810,118.5700,119.9600,117.3200,118.1700,5080220
20090817,119.9000,120.0100,116.1200,116.6900,5524440
20090824,118.2200,120.8800,117.5100,119.9200,5224740
20090831,117.4600,118.9300,115.1500,117.1000,5061980
20090908,118.0500,119.2500,116.1600,117.9400,5457175
20090914,122.1100,122.8800,116.9400,117.0000,8171940
20090921,121.0800,122.7400,120.1000,121.0300,5246520
20090928,119.0200,122.0000,117.2600,120.5200,7476020
20091005,125.9300,126.0000,118.1300,118.9000,7565100
20091012,121.6400,128.6100,121.2500,125.4400,11195760
20091019,120.3600,124.1100,120.0000,121.7600,7258400
20091026,120.6100,123.2500,119.1500,120.6100,7757080
20091102,123.4900,123.5000,119.5000,120.7700,6158180
20091109,127.0300,127.8000,123.4900,123.9200,6213000
20091116,126.9600,128.6500,126.4600,127.1700,4696540
20091123,125.7000,128.9400,124.2600,127.7000,4776725
20091130,127.2500,128.9000,124.9200,125.1200,6061540
20091207,129.6800,129.7700,126.1100,126.8800,5848540
20091214,127.9100,129.9800,127.0000,129.6500,6890500
20091221,130.5700,130.5700,127.6800,127.8000,4675175
20091228,130.9000,132.8500,130.6800,130.9900,4518750
20100104,130.8500,132.9700,128.9100,131.1800,5727960
20100111,131.7800,132.8900,128.6700,131.0600,7174700
20100119,125.5000,134.2500,125.3700,131.6300,12202725
20100125,122.3900,127.7500,121.9000,126.3300,8557280
20100201,123.5200,126.0700,121.8300,123.2300,7012760
20100208,124.0000,124.2000,121.6100,123.1500,6017760
20100216,127.1900,128.0600,124.1100,124.9100,6108425
20100222,127.1600,128.2700,125.5700,127.3000,4724980
20100301,127.2500,129.0900,125.4700,127.5000,5830700
20100308,127.9400,128.3700,125.2000,127.0600,6747200
20100315,127.7100,128.9300,126.7800,127.4000,6535940
20100322,129.2600,130.7300,126.5700,127.1100,6290740
20100329,128.2500,129.9500,127.5500,129.3000,4488725
20100405,128.7600,129.8000,127.1200,128.3800,4878800
20100412,130.6300,132.1700,127.8400,128.5700,7065740
20100419,129.9900,132.2800,127.7700,130.3800,9269040
20100426,129.0000,132.0000,128.7100,129.7600,7075600
20100503,122.1000,130.1400,116.0000,129.3900,8620700
20100510,131.1900,133.1000,125.0600,126.2700,10401520
20100517,125.4200,131.9900,121.4000,130.6800,10547740
20100524,125.2600,126.3900,121.4700,125.2600,8118880
20100601,125.2800,128.2200,124.2000,124.6900,7788800
20100607,128.4500,128.8000,122.8200,125.5700,7289200
20100614,130.1500,131.2500,128.3400,128.5000,6991780
20100621,127.1200,131.9400,127.1200,131.4200,7145940
20100628,121.8600,129.4700,120.6100,127.6500,7985180
20100706,127.9600,128.2000,122.1700,123.5800,5694075
20100712,128.0300,131.6000,127.1600,127.3700,6138300
20100719,128.3800,130.3800,122.9300,128.6700,9065700
20100726,128.4000,129.5000,127.0400,128.1800,5817420
20100802,130.1400,131.9800,128.7600,129.2500,5350720
20100809,127.8700,132.4900,127.3300,130.7900,5544220
20100816,127.5000,130.2000,126.9600,127.4700,4967880
20100823,124.7300,128.0300,122.4200,127.5700,5770340
20100830,127.5800,127.6000,122.2800,125.0800,5019500
20100907,127.9900,128.2900,125.3900,126.9900,4171550
20100913,130.1900,130.6000,128.4300,128.6300,5993340
20100920,134.1100,134.1500,130.1100,130.2400,5671400
20100927,135.6400,136.2800,133.5100,133.5100,6166980
20101004,138.8500,139.0900,134.3900,135.2300,5205400
20101011,141.0600,142.1000,138.2700,138.7900,6259880
20101018,139.6700,143.0300,136.7000,140.9000,8350760
20101025,143.6000,144.0000,138.5300,140.4200,6516660
20101101,146.9200,146.9300,142.3200,143.6400,5420280
20101108,143.7400,147.5300,143.3500,145.3500,4963200
20101115,145.0500,145.3500,141.1800,143.8900,4841560
20101122,143.9000,146.4400,142.3300,144.0000,3814100
20101129,145.3800,145.8500,141.2800,143.5300,5724500
20101206,144.8200,146.3000,143.5200,144.5400,4204180
20101213,145.0000,146.0100,144.1500,145.1400,5638960
20101220,145.8900,146.4000,144.3300,145.3900,3396350
20101227,146.7600,147.5000,145.0000,145.1200,2936860
20110103,147.9300,148.8600,146.6400,147.2100,4697240
20110110,150.0000,150.0000,146.7500,147.5800,3975700
20110118,155.5000,156.7800,149.3800,149.8200,8941700
20110124,159.2100,164.3500,155.3300,155.4200,6500580
20110131,164.0000,164.2000,158.6800,159.1800,5074220
20110207,163.8500,166.2500,163.1800,164.0800,5219460
