uri:/instrument/1.0/ibm/chartdata;type=quote;range=5y/csv
ticker:ibm
Company-Name:International Business Machines
Exchange-Name:NYQ
unit:WEEK
timestamp:
first-trade:19620102
last-trade:20140731
currency:USD
previous_close_price:117.9300
Date:20090803,20140728
labels:20090803,20091005,20100104,20100405,20100706,20101004,20110103,20110404,20110705,20111003,20120103,20120402,20120702,20121001,20130107,20130401,20130701,20131007,20140106,20140407,20140707
values:Date,close,high,low,open,volume
close:117.4600,214.9200
high:118.9300,215.9000
low:115.1500,210.1100
open:116.6900,212.9000
volume:2474740,12202725
20120409,202.8000,206.1700,202.1700,204.4000,3504520
20120416,199.6000,207.6400,197.5200,204.7400,6113340
20120423,206.8100,208.1700,196.7900,197.8900,4009620
20120430,204.9900,208.9300,204.4000,206.7100,2939920
20120507,201.1700,204.7700,199.0600,203.9600,3443880
20120514,195.8800,201.4700,195.1600,199.9200,4476200
20120521,194.3000,198.2600,193.2000,195.9800,3594000
20120529,189.0800,198.0800,188.6000,195.2200,5428725
20120604,195.1400,195.8300,187.0000,188.3400,3600520
20120611,199.1000,199.2700,192.1400,196.6000,3903740
20120618,193.7000,199.9900,193.1900,197.5700,4638860
20120625,195.5800,195.8100,188.9000,192.4800,3727420
20120702,191.4100,197.2000,189.7400,196.3600,2980125
20120709,186.0100,191.1400,181.8500,190.7600,4599760
20120716,192.4500,196.8500,183.2000,185.5800,6301520
20120723,196.3900,197.4100,188.2000,189.7800,3759120
20120730,198.5200,198.9500,193.0200,196.3200,2988800
20120806,199.2900,200.8800,197.2400,198.7600,2475220
20120813,201.2200,202.0000,197.7200,198.8800,2474740
20120820,197.7700,201.1300,194.2000,200.6900,2828060
20120827,194.8500,198.3000,193.1800,197.9600,2622720
20120904,199.5000,199.5000,193.2500,196.6100,3793075
20120910,206.8100,207.6500,198.7300,199.3900,3867860
20120917,205.9800,207.9900,205.3000,205.5500,4973480
20120924,207.4500,208.3200,203.9000,205.0200,3592480
20121001,210.5900,211.7900,207.9400,208.0100,3557220
20121008,207.8000,210.7400,205.0500,210.0200,3041900
20121015,193.3600,211.0000,193.1800,208.8800,7456620
20121022,193.2700,194.6800,190.5600,193.7100,3964800
20121031,193.4300,198.0000,193.2900,194.8000,4690400
20121105,189.6400,196.7500,188.8800,192.3600,3595440
20121112,186.9400,190.8800,184.7800,190.0300,3790200
20121119,193.4900,193.4900,188.2500,188.6200,3956575
20121126,190.0700,193.3700,189.2700,192.4500,4223820
20121203,191.9500,192.2000,186.9400,190.7600,3770060
20121210,191.7600,194.8000,191.2600,192.1700,3854900
20121217,193.4200,196.4500,191.5700,191.7600,4919720
20121224,189.8300,193.8300,189.8300,193.0500,2977975
20121231,193.9900,196.3500,188.8400,189.2300,3985975
20130107,194.4500,195.0000,191.2800,193.4000,3317940
20130114,194.4700,195.0000,190.3900,192.8200,3949680
20130122,204.9700,208.5800,194.0100,194.3600,6877225
20130128,205.1800,206.2200,202.9600,204.8500,3180260
20130204,201.6800,205.0200,198.6800,204.1900,3283980
20130211,200.9800,201.9500,199.0200,200.9800,2899660
20130219,201.0900,201.8900,198.1100,200.6000,3436125
20130225,202.9100,203.1200,197.5100,201.6700,3883800
20130304,210.3800,210.7400,202.5500,202.5900,3736180
20130311,214.9200,215.9000,209.0400,210.0400,4686600
20130318,212.0800,215.8200,210.1100,212.9000,3617100
20130325,213.3000,213.4400,209.7400,212.5400,3129025
20130401,209.4100,214.8900,206.3400,212.8000,3249520
20130408,211.3800,213.0900,207.3300,209.0700,3054740
20130415,190.0000,212.0000,189.7600,210.4400,7139280
20130422,194.3100,195.1700,187.6800,191.1500,5595320
20130429,204.5100,205.3200,194.6500,194.7800,5361840
20130506,204.4700,205.0000,201.5200,203.7900,3740140
20130513,208.4400,209.5000,202.0400,204.1800,4317460
20130520,205.7200,210.1500,204.4200,208.0200,4051820
20130528,208.0200,211.9800,206.0400,207.4400,4199900
20130603,206.3500,210.0500,201.4700,208.2500,3553700
20130610,202.2000,206.9800,200.3400,206.9700,2916100
20130617,195.4600,206.0900,193.5400,203.4400,4554680
20130624,191.1100,196.9000,188.4100,193.9900,5018520
20130701,194.9300,195.1600,190.2600,192.1500,3094525
20130708,192.0700,195.7800,190.7800,195.6000,4143180
20130715,193.5400,200.9400,191.6800,192.4200,6335880
20130722,197.3500,197.8300,193.2800,193.4000,2943820
20130729,195.1600,197.8300,193.2200,196.8300,3067720
20130805,187.8200,195.8800,186.7900,195.1600,4025660
20130812,185.3400,189.9900,185.3400,186.9700,3316100
20130819,185.4200,186.5700,183.1700,185.3000,2912940
20130826,182.2700,187.0000,181.1000,185.2700,3010440
20130903,183.0300,185.0000,182.3100,183.6300,2964050
20130909,192.1700,193.1000,183.3100,183.6800,3638980
20130916,190.0200,194.8900,190.0200,193.7000,4475820
20130923,186.9200,192.4100,186.4500,190.0600,3015940
20130930,184.1000,186.7400,183.0000,185.5600,3270380
20131007,186.1600,186.2300,178.7100,181.8500,4171940
